Frequency;Harmonic;Test;paired;statistic;Critical chi-squared;p_value
6;6;Wilcoxon signed-rank;True;61.0;Non-applicable;0.743560791015625
6;12;Wilcoxon signed-rank;True;65.0;Non-applicable;0.899932861328125
6;18;Wilcoxon signed-rank;True;32.0;Non-applicable;0.065399169921875
6;24;Wilcoxon signed-rank;True;46.0;Non-applicable;0.274444580078125
6;30;Wilcoxon signed-rank;True;38.0;Non-applicable;0.129730224609375
6;36;Wilcoxon signed-rank;True;48.0;Non-applicable;0.322509765625
10;10;Wilcoxon signed-rank;True;59.0;Non-applicable;0.668548583984375
10;20;Wilcoxon signed-rank;True;47.0;Non-applicable;0.2978515625
10;30;Wilcoxon signed-rank;True;38.0;Non-applicable;0.129730224609375
10;40;Wilcoxon signed-rank;True;56.0;Non-applicable;0.5618896484375
20;20;Wilcoxon signed-rank;True;47.0;Non-applicable;0.2978515625
20;40;Wilcoxon signed-rank;True;56.0;Non-applicable;0.5618896484375
